"","CTYUA19CD","CTYUA19NM","long","lat","date","cumulative_cases","daily_total","daily_unknown"
"1","E10000008","Devon",-3.65701,50.725559,2020-03-07,10,184,14
"2","E10000008","Devon",-3.65701,50.725559,2020-03-08,12,244,20
"3","E10000008","Devon",-3.65701,50.725559,2020-03-09,12,280,27
"4","E10000008","Devon",-3.65701,50.725559,2020-03-10,13,324,15
"5","E10000008","Devon",-3.65701,50.725559,2020-03-11,13,387,30
"6","E10000008","Devon",-3.65701,50.725559,2020-03-12,13,491,60
"7","E10000008","Devon",-3.65701,50.725559,2020-03-13,14,645,113
"8","E10000008","Devon",-3.65701,50.725559,2020-03-14,14,925,165
"9","E10000008","Devon",-3.65701,50.725559,2020-03-15,15,1099,129
"10","E10000008","Devon",-3.65701,50.725559,2020-03-16,20,1196,92
"11","E10000008","Devon",-3.65701,50.725559,2020-03-17,24,1557,142
"12","E10000008","Devon",-3.65701,50.725559,2020-03-18,25,2182,124
"13","E10000008","Devon",-3.65701,50.725559,2020-03-19,26,2756,221
"14","E10000008","Devon",-3.65701,50.725559,2020-03-20,30,3384,138
"15","E10000008","Devon",-3.65701,50.725559,2020-03-21,42,4257,273
"16","E10000008","Devon",-3.65701,50.725559,2020-03-22,43,4792,181
"17","E10000008","Devon",-3.65701,50.725559,2020-03-23,46,5585,196
"18","E10000008","Devon",-3.65701,50.725559,2020-03-24,48,6843,251
"19","E10000008","Devon",-3.65701,50.725559,2020-03-25,50,7973,291
"20","E10000008","Devon",-3.65701,50.725559,2020-03-26,55,9782,473
"21","E10000008","Devon",-3.65701,50.725559,2020-03-27,65,12288,536
"22","E10000008","Devon",-3.65701,50.725559,2020-03-28,84,14427,563
"23","E10000008","Devon",-3.65701,50.725559,2020-03-29,91,16487,653
"24","E10000008","Devon",-3.65701,50.725559,2020-03-30,101,18594,732
"25","E10000008","Devon",-3.65701,50.725559,2020-03-31,121,21008,865
"26","E10000008","Devon",-3.65701,50.725559,2020-04-01,128,24638,940
"27","E10000008","Devon",-3.65701,50.725559,2020-04-02,147,28221,1080
"28","E10000008","Devon",-3.65701,50.725559,2020-04-03,163,31797,1151
"29","E10000008","Devon",-3.65701,50.725559,2020-04-04,181,34707,1305
"30","E10000008","Devon",-3.65701,50.725559,2020-04-05,207,39814,1761
"31","E10000008","Devon",-3.65701,50.725559,2020-04-06,229,42990,1723
"32","E10000008","Devon",-3.65701,50.725559,2020-04-07,236,45968,1818
"33","E10000008","Devon",-3.65701,50.725559,2020-04-08,250,50756,1991
"34","E10000008","Devon",-3.65701,50.725559,2020-04-09,294,54554,2225
"35","E10000008","Devon",-3.65701,50.725559,2020-04-10,312,58817,2455
"36","E10000008","Devon",-3.65701,50.725559,2020-04-11,324,62658,2647
"37","E10000008","Devon",-3.65701,50.725559,2020-04-12,355,66330,2801
"38","E10000008","Devon",-3.65701,50.725559,2020-04-13,374,69329,2964
"39","E10000008","Devon",-3.65701,50.725559,2020-04-14,396,73183,2914
"40","E10000008","Devon",-3.65701,50.725559,2020-04-15,426,76371,3003
"41","E10000008","Devon",-3.65701,50.725559,2020-04-16,460,79489,2965
"42","E10000008","Devon",-3.65701,50.725559,2020-04-17,471,83474,3311
"43","E10000008","Devon",-3.65701,50.725559,2020-04-18,482,87022,3643
"44","E10000008","Devon",-3.65701,50.725559,2020-04-19,517,90629,3836
"45","E10000008","Devon",-3.65701,50.725559,2020-04-20,543,93030,3897
"46","E10000008","Devon",-3.65701,50.725559,2020-04-21,561,96117,4044
"47","E10000008","Devon",-3.65701,50.725559,2020-04-22,581,99137,4206
"48","E10000008","Devon",-3.65701,50.725559,2020-04-23,594,102221,4386
"49","E10000008","Devon",-3.65701,50.725559,2020-04-24,604,105225,4545
"50","E10000008","Devon",-3.65701,50.725559,2020-04-25,629,108051,4659
"51","E10000008","Devon",-3.65701,50.725559,2020-04-26,643,110203,4777
"52","E10000008","Devon",-3.65701,50.725559,2020-04-27,652,112467,4901
"53","E10000008","Devon",-3.65701,50.725559,2020-04-28,658,114456,4961
"54","E10000008","Devon",-3.65701,50.725559,2020-04-29,676,115859,5001
"55","E10000008","Devon",-3.65701,50.725559,2020-04-30,686,118343,5064
"56","E10000008","Devon",-3.65701,50.725559,2020-05-01,701,120614,5174
"57","E10000008","Devon",-3.65701,50.725559,2020-05-02,712,122842,5248
"58","E10000008","Devon",-3.65701,50.725559,2020-05-03,727,124861,5320
"59","E10000008","Devon",-3.65701,50.725559,2020-05-04,733,126346,5362
"60","E10000008","Devon",-3.65701,50.725559,2020-05-05,750,128188,5430
"61","E10000008","Devon",-3.65701,50.725559,2020-05-06,753,129799,5502
"62","E10000008","Devon",-3.65701,50.725559,2020-05-07,755,131932,5544
"63","E10000008","Devon",-3.65701,50.725559,2020-05-08,767,133626,5626
"64","E10000008","Devon",-3.65701,50.725559,2020-05-09,768,134975,5626
"65","E10000008","Devon",-3.65701,50.725559,2020-05-10,775,135982,5657
"66","E10000008","Devon",-3.65701,50.725559,2020-05-11,776,136873,5691
"67","E10000008","Devon",-3.65701,50.725559,2020-05-12,777,137940,5763
"68","E10000008","Devon",-3.65701,50.725559,2020-05-13,784,139086,5786
"69","E10000008","Devon",-3.65701,50.725559,2020-05-14,787,140275,5820
"70","E10000008","Devon",-3.65701,50.725559,2020-05-15,790,141387,5849
"71","E10000008","Devon",-3.65701,50.725559,2020-05-16,794,142523,5958
"72","E10000008","Devon",-3.65701,50.725559,2020-05-17,795,143311,5995
"73","E10000008","Devon",-3.65701,50.725559,2020-05-18,795,144127,6006
"74","E10000008","Devon",-3.65701,50.725559,2020-05-19,796,144984,6159
"75","E10000008","Devon",-3.65701,50.725559,2020-05-20,802,145808,6087
"76","E10000008","Devon",-3.65701,50.725559,2020-05-21,807,146662,6122
"77","E10000008","Devon",-3.65701,50.725559,2020-05-22,808,147745,6162
"78","E10000008","Devon",-3.65701,50.725559,2020-05-23,808,148724,6230
"79","E10000008","Devon",-3.65701,50.725559,2020-05-24,809,149308,6215
"80","E10000008","Devon",-3.65701,50.725559,2020-05-25,810,149802,6226
"81","E10000008","Devon",-3.65701,50.725559,2020-05-26,810,150294,6233
"82","E10000008","Devon",-3.65701,50.725559,2020-05-27,810,150903,6258
"83","E10000008","Devon",-3.65701,50.725559,2020-05-28,812,151422,6279
"84","E10000008","Devon",-3.65701,50.725559,2020-05-29,812,151982,6260
"85","E10000008","Devon",-3.65701,50.725559,2020-05-30,812,151856,6289
"86","E10000008","Devon",-3.65701,50.725559,2020-05-31,814,152176,6298
"87","E10000008","Devon",-3.65701,50.725559,2020-06-01,815,152470,6302
"88","E10000008","Devon",-3.65701,50.725559,2020-06-02,817,152914,6332
"89","E10000008","Devon",-3.65701,50.725559,2020-06-03,820,153376,6338
"90","E10000008","Devon",-3.65701,50.725559,2020-06-04,821,153807,6350
"91","E10000008","Devon",-3.65701,50.725559,2020-06-05,822,154258,6366
"92","E10000008","Devon",-3.65701,50.725559,2020-06-06,822,154680,6382
"93","E10000008","Devon",-3.65701,50.725559,2020-06-07,822,154908,6379
"94","E10000008","Devon",-3.65701,50.725559,2020-06-08,823,155000,6400
"95","E10000008","Devon",-3.65701,50.725559,2020-06-09,823,155651,6398
"96","E10000008","Devon",-3.65701,50.725559,2020-06-10,824,155714,6423
"97","E10000008","Devon",-3.65701,50.725559,2020-06-11,824,156018,6421
"98","E10000008","Devon",-3.65701,50.725559,2020-06-12,824,156410,6466
"99","E10000008","Devon",-3.65701,50.725559,2020-06-13,826,156782,6476
"100","E10000008","Devon",-3.65701,50.725559,2020-06-14,826,157074,6470
"101","E10000008","Devon",-3.65701,50.725559,2020-06-15,826,157293,6474
"102","E10000008","Devon",-3.65701,50.725559,2020-06-16,827,157545,6468
"103","E10000008","Devon",-3.65701,50.725559,2020-06-17,827,157797,6485
