,MSOA11CD,cases
1,E02002183,0
2,E02002184,0
3,E02002185,0
4,E02002186,0
5,E02002187,0
6,E02002188,0
7,E02002189,0
8,E02002190,0
9,E02002191,0
10,E02002192,0
11,E02002193,0
12,E02002194,0
13,E02002195,0
14,E02002196,0
15,E02002197,0
16,E02002198,0
17,E02002199,0
18,E02002200,0
19,E02002201,0
20,E02002202,0
21,E02002203,0
22,E02002204,33
23,E02002205,0
24,E02002206,0
25,E02002207,0
26,E02002208,0
27,E02002209,0
28,E02002210,0
29,E02002211,0
30,E02002212,0
31,E02002213,0
32,E02002214,0
33,E02002215,0
34,E02002216,0
35,E02002217,0
36,E02002218,0
37,E02002219,0
38,E02002220,0
39,E02002221,0
40,E02002222,0
41,E02002223,0
42,E02002224,0
43,E02002225,0
44,E02002226,0
45,E02002227,0
46,E02002228,0
47,E02002229,0
48,E02002230,0
49,E02002231,0
50,E02002232,0
51,E02002233,0
52,E02002234,0
53,E02002235,0
54,E02002236,0
55,E02002237,0
56,E02002238,0
57,E02002239,0
58,E02002240,0
59,E02002241,0
60,E02002242,0
61,E02002243,0
62,E02002244,0
63,E02002245,0
64,E02002246,0
65,E02002247,0
66,E02002248,0
67,E02002249,0
68,E02002250,0
69,E02002251,0
70,E02002252,0
71,E02002253,0
72,E02002254,0
73,E02002255,0
74,E02002256,0
75,E02002257,0
76,E02002258,0
77,E02002259,0
78,E02002260,0
79,E02002261,0
80,E02002262,0
81,E02002263,0
82,E02002264,0
83,E02002265,0
84,E02002266,0
85,E02002267,0
86,E02002268,0
87,E02002269,0
88,E02002270,0
89,E02002271,0
90,E02002272,0
91,E02002273,0
92,E02002274,0
93,E02002275,0
94,E02002276,0
95,E02002277,0
96,E02002278,0
97,E02002279,0
98,E02002280,0
99,E02002281,0
100,E02002282,0
101,E02002283,33
102,E02002284,0
103,E02002285,0
104,E02002286,0
105,E02002287,0
106,E02002288,0
107,E02002289,0
108,E02002290,0
109,E02002291,0
110,E02002292,0
111,E02002293,0
112,E02002294,0
113,E02002295,0
114,E02002296,0
115,E02002297,0
116,E02002298,0
117,E02002299,0
118,E02002300,0
119,E02002301,0
120,E02002302,0
121,E02002303,0
122,E02002304,0
123,E02002305,0
124,E02002306,0
125,E02002307,0
126,E02002308,0
127,E02002309,0
128,E02002310,0
129,E02002311,0
130,E02002312,0
131,E02002313,0
132,E02002314,0
133,E02002315,0
134,E02002316,0
135,E02002317,0
136,E02002318,0
137,E02002319,0
138,E02002320,0
139,E02002321,0
140,E02002322,0
141,E02002323,0
142,E02002324,0
143,E02002325,0
144,E02002326,0
145,E02002327,0
146,E02002328,0
147,E02002329,0
148,E02002330,0
149,E02002331,0
150,E02002332,0
151,E02002333,0
152,E02002334,0
153,E02002335,0
154,E02002336,0
155,E02002337,0
156,E02002338,0
157,E02002339,0
158,E02002340,0
159,E02002341,0
160,E02002342,0
161,E02002343,0
162,E02002344,0
163,E02002345,0
164,E02002346,0
165,E02002347,0
166,E02002348,0
167,E02002349,0
168,E02002350,0
169,E02002351,0
170,E02002352,0
171,E02002353,0
172,E02002354,0
173,E02002356,0
174,E02002357,0
175,E02002358,0
176,E02002359,0
177,E02002360,0
178,E02002361,0
179,E02002362,0
180,E02002363,0
181,E02002364,33
182,E02002366,0
183,E02002367,0
184,E02002368,0
185,E02002369,0
186,E02002370,0
187,E02002371,0
188,E02002373,0
189,E02002374,0
190,E02002375,0
191,E02002376,0
192,E02002377,0
193,E02002379,0
194,E02002380,0
195,E02002381,0
196,E02002382,0
197,E02002383,0
198,E02002384,0
199,E02002385,0
200,E02002386,0
201,E02002387,0
202,E02002388,0
203,E02002389,0
204,E02002390,0
205,E02002391,0
206,E02002392,0
207,E02002393,0
208,E02002394,0
209,E02002395,0
210,E02002396,0
211,E02002397,0
212,E02002398,0
213,E02002399,0
214,E02002400,0
215,E02002401,0
216,E02002402,0
217,E02002403,0
218,E02002404,0
219,E02002405,0
220,E02002406,0
221,E02002407,0
222,E02002408,0
223,E02002409,0
224,E02002410,0
225,E02002411,0
226,E02002412,0
227,E02002414,0
228,E02002415,0
229,E02002416,0
230,E02002417,0
231,E02002418,0
232,E02002419,0
233,E02002420,0
234,E02002421,0
235,E02002422,0
236,E02002423,0
237,E02002424,0
238,E02002425,0
239,E02002426,0
240,E02002427,0
241,E02002428,0
242,E02002429,0
243,E02002430,0
244,E02002431,0
245,E02002432,0
246,E02002433,0
247,E02002434,0
248,E02002435,0
249,E02002436,0
250,E02002437,0
251,E02002438,0
252,E02002439,33
253,E02002440,0
254,E02002441,0
255,E02002442,0
256,E02002443,0
257,E02002444,0
258,E02002445,0
259,E02002446,0
260,E02002447,0
261,E02002448,0
262,E02002449,0
263,E02002450,0
264,E02002451,0
265,E02002452,0
266,E02002453,0
267,E02002454,0
268,E02002455,0
269,E02002456,0
270,E02002457,0
271,E02002458,0
272,E02002459,0
273,E02002460,0
274,E02002461,0
275,E02002462,0
276,E02002463,0
277,E02002464,0
278,E02002465,0
279,E02002466,0
280,E02002467,0
281,E02002468,0
282,E02002469,0
283,E02002470,0
284,E02002471,0
285,E02002472,0
286,E02002473,0
287,E02002474,0
288,E02002475,0
289,E02002476,0
290,E02002477,0
291,E02002478,0
292,E02002479,0
293,E02002480,33
294,E02002481,0
295,E02002482,0
296,E02006852,0
297,E02006861,0
298,E02006875,0
299,E02006876,0