Easting,Northing,Num,Code,Desc
1,1,1,E02002183,Medium
1,1,2,E02002184,Medium
1,1,3,E02002185,Medium
1,1,4,E02002186,Medium
1,1,5,E02002187,Medium
1,1,6,E02002188,Medium
1,1,7,E02002189,Medium
1,1,8,E02002190,Medium
1,1,9,E02002191,Medium
1,1,10,E02002192,Medium
1,1,11,E02002193,Medium
1,1,12,E02002194,Medium
1,1,13,E02002195,Medium
1,1,14,E02002196,Medium
1,1,15,E02002197,Medium
1,1,16,E02002198,Medium
1,1,17,E02002199,Medium
1,1,18,E02002200,Medium
1,1,19,E02002201,Medium
1,1,20,E02002202,Medium
1,1,21,E02002203,Medium
1,1,22,E02002204,Medium
1,1,23,E02002205,Medium
1,1,24,E02002206,Medium
1,1,25,E02002207,Medium
1,1,26,E02002208,Medium
1,1,27,E02002209,Medium
1,1,28,E02002210,Medium
1,1,29,E02002211,Medium
1,1,30,E02002212,Medium
1,1,31,E02002213,Medium
1,1,32,E02002214,Medium
1,1,33,E02002215,Medium
1,1,34,E02002216,Medium
1,1,35,E02002217,Medium
1,1,36,E02002218,Medium
1,1,37,E02002219,Medium
1,1,38,E02002220,Medium
1,1,39,E02002221,Medium
1,1,40,E02002222,Medium
1,1,41,E02002223,Medium
1,1,42,E02002224,Medium
1,1,43,E02002225,Low
1,1,44,E02002226,Medium
1,1,45,E02002227,Medium
1,1,46,E02002228,Medium
1,1,47,E02002229,Medium
1,1,48,E02002230,Medium
1,1,49,E02002231,Medium
1,1,50,E02002232,Medium
1,1,51,E02002233,Medium
1,1,52,E02002234,Medium
1,1,53,E02002235,Medium
1,1,54,E02002236,Medium
1,1,55,E02002237,Medium
1,1,56,E02002238,Medium
1,1,57,E02002239,Medium
1,1,58,E02002240,Medium
1,1,59,E02002241,Medium
1,1,60,E02002242,Medium
1,1,61,E02002243,Medium
1,1,62,E02002244,Medium
1,1,63,E02002245,Low
1,1,64,E02002246,Medium
1,1,65,E02002247,Medium
1,1,66,E02002248,Medium
1,1,67,E02002249,Medium
1,1,68,E02002250,Medium
1,1,69,E02002251,Medium
1,1,70,E02002252,Medium
1,1,71,E02002253,Medium
1,1,72,E02002254,Medium
1,1,73,E02002255,Medium
1,1,74,E02002256,Medium
1,1,75,E02002257,Medium
1,1,76,E02002258,Medium
1,1,77,E02002259,Medium
1,1,78,E02002260,Medium
1,1,79,E02002261,Medium
1,1,80,E02002262,Medium
1,1,81,E02002263,Low
1,1,82,E02002264,Medium
1,1,83,E02002265,Medium
1,1,84,E02002266,Medium
1,1,85,E02002267,Medium
1,1,86,E02002268,Medium
1,1,87,E02002269,Medium
1,1,88,E02002270,Medium
1,1,89,E02002271,Medium
1,1,90,E02002272,Medium
1,1,91,E02002273,Medium
1,1,92,E02002274,Medium
1,1,93,E02002275,Medium
1,1,94,E02002276,Medium
1,1,95,E02002277,Medium
1,1,96,E02002278,Medium
1,1,97,E02002279,Medium
1,1,98,E02002280,Medium
1,1,99,E02002281,Medium
1,1,100,E02002282,Medium
1,1,101,E02002283,Medium
1,1,102,E02002284,Medium
1,1,103,E02002285,Medium
1,1,104,E02002286,Medium
1,1,105,E02002287,Medium
1,1,106,E02002288,Medium
1,1,107,E02002289,Medium
1,1,108,E02002290,Medium
1,1,109,E02002291,Medium
1,1,110,E02002292,Medium
1,1,111,E02002293,Medium
1,1,112,E02002294,Medium
1,1,113,E02002295,Medium
1,1,114,E02002296,Medium
1,1,115,E02002297,Medium
1,1,116,E02002298,Medium
1,1,117,E02002299,Medium
1,1,118,E02002300,Medium
1,1,119,E02002301,Medium
1,1,120,E02002302,Medium
1,1,121,E02002303,Medium
1,1,122,E02002304,Medium
1,1,123,E02002305,Medium
1,1,124,E02002306,Medium
1,1,125,E02002307,Medium
1,1,126,E02002308,Medium
1,1,127,E02002309,Medium
1,1,128,E02002310,Medium
1,1,129,E02002311,Medium
1,1,130,E02002312,Medium
1,1,131,E02002313,Medium
1,1,132,E02002314,Medium
1,1,133,E02002315,Medium
1,1,134,E02002316,Medium
1,1,135,E02002317,Medium
1,1,136,E02002318,Medium
1,1,137,E02002319,Medium
1,1,138,E02002320,Medium
1,1,139,E02002321,Medium
1,1,140,E02002322,Medium
1,1,141,E02002323,Medium
1,1,142,E02002324,Medium
1,1,143,E02002325,Medium
1,1,144,E02002326,Medium
1,1,145,E02002327,Medium
1,1,146,E02002328,Medium
1,1,147,E02002329,Medium
1,1,148,E02002330,Medium
1,1,149,E02002331,Medium
1,1,150,E02002332,Medium
1,1,151,E02002333,Medium
1,1,152,E02002334,Medium
1,1,153,E02002335,Medium
1,1,154,E02002336,Medium
1,1,155,E02002337,Medium
1,1,156,E02002338,Medium
1,1,157,E02002339,Medium
1,1,158,E02002340,Medium
1,1,159,E02002341,Medium
1,1,160,E02002342,Medium
1,1,161,E02002343,Medium
1,1,162,E02002344,High
1,1,163,E02002345,Medium
1,1,164,E02002346,Medium
1,1,165,E02002347,Medium
1,1,166,E02002348,Medium
1,1,167,E02002349,Medium
1,1,168,E02002350,Medium
1,1,169,E02002351,Medium
1,1,170,E02002352,High
1,1,171,E02002353,High
1,1,172,E02002354,Medium
1,1,173,E02002356,Medium
1,1,174,E02002357,Medium
1,1,175,E02002358,Medium
1,1,176,E02002359,Medium
1,1,177,E02002360,Medium
1,1,178,E02002361,Medium
1,1,179,E02002362,Medium
1,1,180,E02002363,High
1,1,181,E02002364,Medium
1,1,182,E02002366,Medium
1,1,183,E02002367,Medium
1,1,184,E02002368,Medium
1,1,185,E02002369,Medium
1,1,186,E02002370,Medium
1,1,187,E02002371,Medium
1,1,188,E02002373,Medium
1,1,189,E02002374,Medium
1,1,190,E02002375,Medium
1,1,191,E02002376,Medium
1,1,192,E02002377,Medium
1,1,193,E02002379,Medium
1,1,194,E02002380,Medium
1,1,195,E02002381,Medium
1,1,196,E02002382,Medium
1,1,197,E02002383,Medium
1,1,198,E02002384,Medium
1,1,199,E02002385,Medium
1,1,200,E02002386,Medium
1,1,201,E02002387,Medium
1,1,202,E02002388,Medium
1,1,203,E02002389,Medium
1,1,204,E02002390,Medium
1,1,205,E02002391,Medium
1,1,206,E02002392,Medium
1,1,207,E02002393,Medium
1,1,208,E02002394,Medium
1,1,209,E02002395,Medium
1,1,210,E02002396,Medium
1,1,211,E02002397,Medium
1,1,212,E02002398,Medium
1,1,213,E02002399,Medium
1,1,214,E02002400,Medium
1,1,215,E02002401,Medium
1,1,216,E02002402,Medium
1,1,217,E02002403,Medium
1,1,218,E02002404,Medium
1,1,219,E02002405,Medium
1,1,220,E02002406,Medium
1,1,221,E02002407,Medium
1,1,222,E02002408,Medium
1,1,223,E02002409,Low
1,1,224,E02002410,Medium
1,1,225,E02002411,Medium
1,1,226,E02002412,Medium
1,1,227,E02002414,Medium
1,1,228,E02002415,Medium
1,1,229,E02002416,Medium
1,1,230,E02002417,Medium
1,1,231,E02002418,Medium
1,1,232,E02002419,Medium
1,1,233,E02002420,Medium
1,1,234,E02002421,Medium
1,1,235,E02002422,Medium
1,1,236,E02002423,Medium
1,1,237,E02002424,Medium
1,1,238,E02002425,Medium
1,1,239,E02002426,Medium
1,1,240,E02002427,Medium
1,1,241,E02002428,Medium
1,1,242,E02002429,Medium
1,1,243,E02002430,Medium
1,1,244,E02002431,Medium
1,1,245,E02002432,Medium
1,1,246,E02002433,Medium
1,1,247,E02002434,Medium
1,1,248,E02002435,Medium
1,1,249,E02002436,Low
1,1,250,E02002437,Medium
1,1,251,E02002438,Medium
1,1,252,E02002439,Medium
1,1,253,E02002440,Medium
1,1,254,E02002441,Medium
1,1,255,E02002442,Medium
1,1,256,E02002443,Medium
1,1,257,E02002444,Medium
1,1,258,E02002445,Medium
1,1,259,E02002446,Medium
1,1,260,E02002447,Low
1,1,261,E02002448,Low
1,1,262,E02002449,Medium
1,1,263,E02002450,Medium
1,1,264,E02002451,Medium
1,1,265,E02002452,Low
1,1,266,E02002453,Low
1,1,267,E02002454,Medium
1,1,268,E02002455,Medium
1,1,269,E02002456,Medium
1,1,270,E02002457,Medium
1,1,271,E02002458,Medium
1,1,272,E02002459,Medium
1,1,273,E02002460,Medium
1,1,274,E02002461,Medium
1,1,275,E02002462,Medium
1,1,276,E02002463,Medium
1,1,277,E02002464,Low
1,1,278,E02002465,Medium
1,1,279,E02002466,Medium
1,1,280,E02002467,Medium
1,1,281,E02002468,Medium
1,1,282,E02002469,Medium
1,1,283,E02002470,Medium
1,1,284,E02002471,Medium
1,1,285,E02002472,Medium
1,1,286,E02002473,Medium
1,1,287,E02002474,Medium
1,1,288,E02002475,Medium
1,1,289,E02002476,Medium
1,1,290,E02002477,Low
1,1,291,E02002478,Low
1,1,292,E02002479,Low
1,1,293,E02002480,Medium
1,1,294,E02002481,Medium
1,1,295,E02002482,Low
1,1,296,E02006852,Medium
1,1,297,E02006861,Medium
1,1,298,E02006875,Medium
1,1,299,E02006876,Medium